id,image,img_path,seg_path,label
ISIC_0000000,ISIC_0000000,data/ISIC/ISIC2018_Task1-2_Training_Input/ISIC_0000000.jpg,data/ISIC/ISIC2018_Task1_Training_GroundTruth/ISIC_0000000_segmentation.png,1
ISIC_0000001,ISIC_0000001,data/ISIC/ISIC2018_Task1-2_Training_Input/ISIC_0000001.jpg,data/ISIC/ISIC2018_Task1_Training_GroundTruth/ISIC_0000001_segmentation.png,1
ISIC_0000003,ISIC_0000003,data/ISIC/ISIC2018_Task1-2_Training_Input/ISIC_0000003.jpg,data/ISIC/ISIC2018_Task1_Training_GroundTruth/ISIC_0000003_segmentation.png,1
ISIC_0000004,ISIC_0000004,data/ISIC/ISIC2018_Task1-2_Training_Input/ISIC_0000004.jpg,data/ISIC/ISIC2018_Task1_Training_GroundTruth/ISIC_0000004_segmentation.png,2
ISIC_0000006,ISIC_0000006,data/ISIC/ISIC2018_Task1-2_Training_Input/ISIC_0000006.jpg,data/ISIC/ISIC2018_Task1_Training_GroundTruth/ISIC_0000006_segmentation.png,1
ISIC_0000007,ISIC_0000007,data/ISIC/ISIC2018_Task1-2_Training_Input/ISIC_0000007.jpg,data/ISIC/ISIC2018_Task1_Training_GroundTruth/ISIC_0000007_segmentation.png,1
ISIC_0000008,ISIC_0000008,data/ISIC/ISIC2018_Task1-2_Training_Input/ISIC_0000008.jpg,data/ISIC/ISIC2018_Task1_Training_GroundTruth/ISIC_0000008_segmentation.png,1
ISIC_0000009,ISIC_0000009,data/ISIC/ISIC2018_Task1-2_Training_Input/ISIC_0000009.jpg,data/ISIC/ISIC2018_Task1_Training_GroundTruth/ISIC_0000009_segmentation.png,1
ISIC_0000011,ISIC_0000011,data/ISIC/ISIC2018_Task1-2_Training_Input/ISIC_0000011.jpg,data/ISIC/ISIC2018_Task1_Training_GroundTruth/ISIC_0000011_segmentation.png,1
ISIC_0000012,ISIC_0000012,data/ISIC/ISIC2018_Task1-2_Training_Input/ISIC_0000012.jpg,data/ISIC/ISIC2018_Task1_Training_GroundTruth/ISIC_0000012_segmentation.png,1
